Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,2,2,0,5.000000e-01,2
2,8,2,3,0,2.500000e+00,4
3,2,4,3,0,5.000000e-01,2
4,4,2,2,1,2.500000e+00,10
5,0,2,3,0,5.000000e-01,6
6,2,0,1,0,4.500000e+00,4
7,0,4,2,1,4.500000e+00,6
8,4,2,3,1,2.500000e+00,2
9,2,0,1,1,2.500000e+00,2
10,2,8,1,1,5.000000e-01,4
11,4,0,3,0,5.000000e-01,6
12,8,0,1,1,4.500000e+00,8
13,2,4,1,0,5.000000e-01,2
14,4,8,2,1,2.500000e+00,6
15,8,0,2,0,2.500000e+00,2
16,8,2,2,1,5.000000e-01,4
17,4,2,1,1,6.500000e+00,6
18,4,8,3,1,2.500000e+00,8
19,4,8,1,1,5.000000e-01,2
20,4,8,2,0,5.000000e-01,2
21,8,0,3,1,5.000000e-01,2
22,4,8,3,0,4.500000e+00,2
23,4,0,1,1,4.500000e+00,2
24,0,8,2,1,5.000000e-01,2
25,4,2,2,0,6.500000e+00,4
26,0,2,3,1,4.500000e+00,2
27,2,8,3,1,5.000000e-01,4
28,0,4,2,0,5.000000e-01,4
29,4,0,1,0,5.000000e-01,2
30,0,8,1,0,5.000000e-01,2
31,0,2,2,1,5.000000e-01,4
32,8,2,1,0,5.000000e-01,2
33,0,8,3,0,2.500000e+00,4
34,8,4,1,0,5.000000e-01,4
35,2,8,2,0,2.500000e+00,2
36,0,4,3,1,2.500000e+00,2
